As on,31-3-07,,31-3-08,,31-3-09
Liabilities,Actual,,Estimated,,Projected
Capital and Reserves,,6.90,,7.12,7.44
Total Term loans,,5.26,,4.80,4.29
Total current liabilities,,1.62,,1.63,1.64
Total Liabilities,,13.78,,13.55,13.37
Assets,31-3-07,,31-3-08,,31-3-09
,Actual,,Estimated,,Projected
Total Fixed assets,,11.85,,10.57,10.32
Total Non current assets,,0.00,,0.50,0.20
Debtors,,0.45,,0.65,0.75
Inventory,,1.42,,1.76,2.02
Cash and Bank Balance,,0.06,,0.07,0.08
Other Current Assets,,0.00,,0.00,0.00
Total Assets.,,13.78,,13.55,13.37
